timestamp,price,day_of_week
2025-01-01 00:00:00,158.80,2
2025-01-01 00:15:00,180.19,2
2025-01-01 00:30:00,178.20,2
2025-01-01 00:45:00,183.88,2
2025-01-01 01:00:00,150.07,2
2025-01-01 01:15:00,150.68,2
2025-01-01 01:30:00,159.19,2
2025-01-01 01:45:00,149.63,2
2025-01-01 02:00:00,112.00,2
2025-01-01 02:15:00,112.95,2
2025-01-01 02:30:00,122.75,2
2025-01-01 02:45:00,113.91,2
2025-01-01 03:00:00,117.16,2
2025-01-01 03:15:00,130.21,2
2025-01-01 03:30:00,109.81,2
2025-01-01 03:45:00,122.92,2
2025-01-01 04:00:00,123.81,2
2025-01-01 04:15:00,116.65,2
2025-01-01 04:30:00,133.83,2
2025-01-01 04:45:00,135.08,2
2025-01-01 05:00:00,138.89,2
2025-01-01 05:15:00,124.47,2
2025-01-01 05:30:00,132.01,2
2025-01-01 05:45:00,148.12,2
2025-01-01 06:00:00,174.75,2
2025-01-01 06:15:00,212.65,2
2025-01-01 06:30:00,221.28,2
2025-01-01 06:45:00,226.48,2
2025-01-01 07:00:00,240.05,2
2025-01-01 07:15:00,229.51,2
2025-01-01 07:30:00,236.55,2
2025-01-01 07:45:00,249.14,2
2025-01-01 08:00:00,269.51,2
2025-01-01 08:15:00,284.71,2
2025-01-01 08:30:00,292.60,2
2025-01-01 08:45:00,312.50,2
2025-01-01 09:00:00,340.86,2
2025-01-01 09:15:00,275.50,2
2025-01-01 09:30:00,273.30,2
2025-01-01 09:45:00,249.76,2
2025-01-01 10:00:00,251.23,2
2025-01-01 10:15:00,245.89,2
2025-01-01 10:30:00,243.00,2
2025-01-01 10:45:00,224.24,2
2025-01-01 11:00:00,215.62,2
2025-01-01 11:15:00,209.34,2
2025-01-01 11:30:00,221.95,2
2025-01-01 11:45:00,181.90,2
2025-01-01 12:00:00,200.61,2
2025-01-01 12:15:00,193.19,2
2025-01-01 12:30:00,169.83,2
2025-01-01 12:45:00,152.11,2
2025-01-01 13:00:00,157.33,2
2025-01-01 13:15:00,168.27,2
2025-01-01 13:30:00,166.12,2
2025-01-01 13:45:00,162.31,2
2025-01-01 14:00:00,179.10,2
2025-01-01 14:15:00,185.71,2
2025-01-01 14:30:00,202.88,2
2025-01-01 14:45:00,201.72,2
2025-01-01 15:00:00,203.11,2
2025-01-01 15:15:00,205.24,2
2025-01-01 15:30:00,209.65,2
2025-01-01 15:45:00,204.43,2
2025-01-01 16:00:00,206.41,2
2025-01-01 16:15:00,235.20,2
2025-01-01 16:30:00,264.56,2
2025-01-01 16:45:00,252.09,2
2025-01-01 17:00:00,264.84,2
2025-01-01 17:15:00,295.43,2
2025-01-01 17:30:00,328.85,2
2025-01-01 17:45:00,357.38,2
2025-01-01 18:00:00,340.98,2
2025-01-01 18:15:00,354.70,2
2025-01-01 18:30:00,368.27,2
2025-01-01 18:45:00,435.79,2
2025-01-01 19:00:00,367.13,2
2025-01-01 19:15:00,369.25,2
2025-01-01 19:30:00,363.33,2
2025-01-01 19:45:00,351.57,2
2025-01-01 20:00:00,351.37,2
2025-01-01 20:15:00,357.25,2
2025-01-01 20:30:00,362.58,2
2025-01-01 20:45:00,317.54,2
2025-01-01 21:00:00,276.27,2
2025-01-01 21:15:00,267.18,2
2025-01-01 21:30:00,257.72,2
2025-01-01 21:45:00,252.82,2
2025-01-01 22:00:00,267.35,2
2025-01-01 22:15:00,260.46,2
2025-01-01 22:30:00,254.95,2
2025-01-01 22:45:00,244.75,2
2025-01-01 23:00:00,232.84,2
2025-01-01 23:15:00,217.47,2
2025-01-01 23:30:00,214.00,2
2025-01-01 23:45:00,211.87,2
